Values, Organizational Success Factors, Organizational Culture, Data-Driven Decision Making, Coding Practices, Version Control, Local Development,  Local Development, Continuous Integration, Code Deployment, Application Deployment, Continuous Delivery, Virtualization as a Service, Full-Stack Automation, Compliance Automation
_Current, 2, 2.6, 1.66666666666667, 2.28571428571429, 2.14285714285714, 0.666666666666667, 2.5, 3.5, 0.571428571428571, 0.5, 2, 1, 0.75, 0.75
_Target, 2.83333333333333, 3, 3.16666666666667, 3.57142857142857, 4, 4, 3.66666666666667, 3.91666666666667, 3.57142857142857, 3.83333333333333, 4, 3.625, 4, 3
